KEY,English,Spanish

GLYPH_TEST, "∂ ∏ ∑ ≥ μ π"
CLASS_APOTHECARY_6,"Bottled Courage"
CLASS_APOTHECARY_7,"Potent Remedies"
CLASS_APOTHECARY_8,"Hidden Stash"

CLASS_DISCIPLE_NAME,"Disciple"
CLASS_DISCIPLE_1,"Cleansing Touch"
CLASS_DISCIPLE_2,"Armor of Faith"
CLASS_DISCIPLE_3,"Blessed Strike"
CLASS_DISCIPLE_4,"Divine Fury"
CLASS_DISCIPLE_5,"Prayer of Peace"
CLASS_DISCIPLE_6,"Time of Need"
CLASS_DISCIPLE_7,"Holy Power"
CLASS_DISCIPLE_8,"Radiant Light"

CLASS_SPIRITSPEAKER_NAME,"Spiritspeaker"
CLASS_SPIRITSPEAKER_1,"Shared Pain"
CLASS_SPIRITSPEAKER_2,"Drain Spirit"
CLASS_SPIRITSPEAKER_3,"Healing Rain"
CLASS_SPIRITSPEAKER_4,"Tempest"
CLASS_SPIRITSPEAKER_5,"Nature's Bounty"
CLASS_SPIRITSPEAKER_6,"Cloud of Mist"
CLASS_SPIRITSPEAKER_7,"Ancestor Spirits"
CLASS_SPIRITSPEAKER_8,"Vigor"

CLASS_PROPHET_NAME,"Prophet"
CLASS_PROPHET_1,"Forewarning"
CLASS_PROPHET_2,"Battle Vision"
CLASS_PROPHET_3,"Grim Fate"
CLASS_PROPHET_4,"All-Seeing"
CLASS_PROPHET_5,"Lifeline"
CLASS_PROPHET_6,"Victory Foretold"
CLASS_PROPHET_7,"Focused Insights"
CLASS_PROPHET_8,"Omniscience"

CLASS_BARD_NAME,"Bard"
CLASS_BARD_1,"Dissonance"
CLASS_BARD_2,"Understudy"
CLASS_BARD_3,"Peaceful Rest"
CLASS_BARD_4,"Aria of War"
CLASS_BARD_5,"Rehearsal"
CLASS_BARD_6,"Concentration"
CLASS_BARD_7,"Cacophony"
CLASS_BARD_8,"Wayfarer"

CLASS_RUNEMASTER_NAME,"Runemaster"
CLASS_RUNEMASTER_1,"Inscribe Rune"
CLASS_RUNEMASTER_2,"Ghost Armor"
CLASS_RUNEMASTER_3,"Exploding Rune"
CLASS_RUNEMASTER_4,"Runic Sorcery"
CLASS_RUNEMASTER_5,"Iron Will"
CLASS_RUNEMASTER_6,"Rune Mastery"
CLASS_RUNEMASTER_7,"Break the Rune"
CLASS_RUNEMASTER_8,"Quick Casting"

CLASS_NECROMANCER_NAME,"Necromancer"
CLASS_NECROMANCER_1,"Fury of Undeath"
CLASS_NECROMANCER_2,"Deathly Haste"
CLASS_NECROMANCER_3,"Corpse Blast"
CLASS_NECROMANCER_4,"Dark Pact"
CLASS_NECROMANCER_5,"Vampiric Blood"
CLASS_NECROMANCER_6,"Undead Might"
CLASS_NECROMANCER_7,"Dying Command"
CLASS_NECROMANCER_8,"Army of Death"

CLASS_GEOMANCER_NAME,"Geomancer"
CLASS_GEOMANCER_1,"Stone Tongue"
CLASS_GEOMANCER_2,"Earthen Anguish"
CLASS_GEOMANCER_3,"Quaking Word"
CLASS_GEOMANCER_4,"Molten Fury"
CLASS_GEOMANCER_5,"Ley Line"
CLASS_GEOMANCER_6,"Ways of Stone"
CLASS_GEOMANCER_7,"Gravity Spike"
CLASS_GEOMANCER_8,"Cataclysm"

CLASS_HEXER_NAME,"Hexer"
CLASS_HEXER_1,"Affliction"
CLASS_HEXER_2,"Viral Hex"
CLASS_HEXER_3,"Plague Spasm"
CLASS_HEXER_4,"Fel Command"
CLASS_HEXER_5,"Internal Rot"
CLASS_HEXER_6,"Crippling Curse"
CLASS_HEXER_7,"Plague Cloud"
CLASS_HEXER_8,"Accursed Arms"

CLASS_CONJURER_NAME,"Conjurer"
CLASS_CONJURER_1,"Many Friends"
CLASS_CONJURER_2,"Illusory Path"
CLASS_CONJURER_3,"Refraction"
CLASS_CONJURER_4,"Sleight of Mind"
CLASS_CONJURER_5,"Focus Fire"
CLASS_CONJURER_6,"Blinding Light"
CLASS_CONJURER_7,"Vortex"
CLASS_CONJURER_8,"Prismatic Assault"

CLASS_THIEF_NAME,"Thief"
CLASS_THIEF_1,"Dirty Tricks"
CLASS_THIEF_2,"Appraisal"
CLASS_THIEF_3,"Sneaky"
CLASS_THIEF_4,"Caltrops"
CLASS_THIEF_5,"Tumble"
CLASS_THIEF_6,"Unseen"
CLASS_THIEF_7,"Bushwhack"
CLASS_THIEF_8,"Lurk"

CLASS_WILDLANDER_NAME,"Wildlander"
CLASS_WILDLANDER_1,"Danger Sense"
CLASS_WILDLANDER_2,"Eagle Eyes"
CLASS_WILDLANDER_3,"Accurate"
CLASS_WILDLANDER_4,"Fleet of Foot"
CLASS_WILDLANDER_5,"First Strike"
CLASS_WILDLANDER_6,"Bow Mastery"
CLASS_WILDLANDER_7,"Running Shot"
CLASS_WILDLANDER_8,"Black Arrow"

CLASS_TREASUREHUNTER_NAME,"Treasure Hunter"
CLASS_TREASUREHUNTER_1,"Dungeoneer"
CLASS_TREASUREHUNTER_2,"Survey"
CLASS_TREASUREHUNTER_3,"Gold Rush"
CLASS_TREASUREHUNTER_4,"Sleight of Hand"
CLASS_TREASUREHUNTER_5,"Guard the Spoils"
CLASS_TREASUREHUNTER_6,"Lure of Fortune"
CLASS_TREASUREHUNTER_7,"Finder’s Keeper’s"
CLASS_TREASUREHUNTER_8,"Trail of Riches"

CLASS_STALKER_NAME,"Stalker"
CLASS_STALKER_1,"Makeshift Trap"
CLASS_STALKER_2,"Hunter’s Mark"
CLASS_STALKER_3,"Exploit"
CLASS_STALKER_4,"Poison Barbs"
CLASS_STALKER_5,"Easy Prey"
CLASS_STALKER_6,"Lay of the Land"
CLASS_STALKER_7,"Ambush"
CLASS_STALKER_8,"Upper Hand"

CLASS_SHADOWWALKER_NAME,"Shadow Walker"
CLASS_SHADOWWALKER_1,"Dark Servant"
CLASS_SHADOWWALKER_2,"Faithful Friend"
CLASS_SHADOWWALKER_3,"Through the Veil"
CLASS_SHADOWWALKER_4,"Endless Void"
CLASS_SHADOWWALKER_5,"Dark Shift"
CLASS_SHADOWWALKER_6,"Otherworldly"
CLASS_SHADOWWALKER_7,"Shadow Puppet"
CLASS_SHADOWWALKER_8,"Shadow Step"

CLASS_BOUNTYHUNTER_NAME,"Bounty Hunter"
CLASS_BOUNTYHUNTER_1,"Not so Fast"
CLASS_BOUNTYHUNTER_2,"Lie in Wait"
CLASS_BOUNTYHUNTER_3,"Longshot"
CLASS_BOUNTYHUNTER_4,"Evil Eye"
CLASS_BOUNTYHUNTER_5,"Dark Iron Chains"
CLASS_BOUNTYHUNTER_6,"Undercover"
CLASS_BOUNTYHUNTER_7,"Payday"
CLASS_BOUNTYHUNTER_8,"Rapid Fire"

CLASS_BERSERKER_NAME,"Berserker"
CLASS_BERSERKER_1,"Brute"
CLASS_BERSERKER_2,"Cripple"
CLASS_BERSERKER_3,"Counter Attack"
CLASS_BERSERKER_4,"Whirlwind"
CLASS_BERSERKER_5,"Weapon Mastery"
CLASS_BERSERKER_6,"Charge"
CLASS_BERSERKER_7,"Execute"
CLASS_BERSERKER_8,"Death Rage"

CLASS_KNIGHT_NAME,"Knight"
CLASS_KNIGHT_1,"Advance"
CLASS_KNIGHT_2,"Defend"
CLASS_KNIGHT_3,"Challenge"
CLASS_KNIGHT_4,"Guard"
CLASS_KNIGHT_5,"Defense Training"
CLASS_KNIGHT_6,"Shield Slam"
CLASS_KNIGHT_7,"Inspiration"
CLASS_KNIGHT_8,"Stalwart"

CLASS_CHAMPION_NAME,"Champion"
CLASS_CHAMPION_1,"Inspiring Presence"
CLASS_CHAMPION_2,"A Living Legend"
CLASS_CHAMPION_3,"Glory of Battle"
CLASS_CHAMPION_4,"No Mercy"
CLASS_CHAMPION_5,"Motivating Charge"
CLASS_CHAMPION_6,"Stoic Resolve"
CLASS_CHAMPION_7,"Valorous Strike"
CLASS_CHAMPION_8,"For the Cause"

CLASS_BEASTMASTER_NAME,"Beastmaster"
CLASS_BEASTMASTER_1,"Survivalist"
CLASS_BEASTMASTER_2,"Bestial Rage"
CLASS_BEASTMASTER_3,"Stalker"
CLASS_BEASTMASTER_4,"Feral Frenzy"
CLASS_BEASTMASTER_5,"Shadow Hunter"
CLASS_BEASTMASTER_6,"Savagery"
CLASS_BEASTMASTER_7,"Changing Skins"
CLASS_BEASTMASTER_8,"Predator"

CLASS_SKIRMISHER_NAME,"Skirmisher"
CLASS_SKIRMISHER_1,"Keen Edge"
CLASS_SKIRMISHER_2,"Back in Action"
CLASS_SKIRMISHER_3,"Deep Wounds"
CLASS_SKIRMISHER_4,"Born in Battle"
CLASS_SKIRMISHER_5,"Unrelenting"
CLASS_SKIRMISHER_6,"Ever in Motion"
CLASS_SKIRMISHER_7,"Unstoppable"
CLASS_SKIRMISHER_8,"Carve a Path"

CLASS_MARSHAL_NAME,"Marshal"
CLASS_MARSHAL_1,"Zealous Fire"
CLASS_MARSHAL_2,"Shockwave"
CLASS_MARSHAL_3,"Just Reward"
CLASS_MARSHAL_4,"Vigilant Watch"
CLASS_MARSHAL_5,"I Am the Law"
CLASS_MARSHAL_6,"By the Book"
CLASS_MARSHAL_7,"Last Stand"
CLASS_MARSHAL_8,"Crushing Blow"

CLASS_BATTLEMAGE_NAME,"BattleMage"
CLASS_BATTLEMAGE_1,"Planar Weapon"
CLASS_BATTLEMAGE_2,"Runic Weave"
CLASS_BATTLEMAGE_3,"Death Siphon"

CLASS_STEELCASTER_NAME,"Steelcaster"
CLASS_STEELCASTER_1,"Rune Grafting"
CLASS_STEELCASTER_2,"Shield Mage"
CLASS_STEELCASTER_3,"Iron Blooded"

CLASS_WATCHMAN_NAME,"Watchman"
CLASS_WATCHMAN_1,"Quick Recovery"
CLASS_WATCHMAN_2,"Trailblazer"
CLASS_WATCHMAN_3,"Unity"

CLASS_MONK_NAME,"Monk"
CLASS_MONK_1,"Inner Balance"
CLASS_MONK_2,"Openhanded"
CLASS_MONK_3,"Vow of Freedom"

//Generic instructions
SETUP_HEROES,"Place the heroes in or adjacent to the indicated space."
SETUP_SEARCH_1,"Place 1 search token as shown."
SETUP_SEARCH_2,"Place 2 search tokens as shown."
SETUP_SEARCH_3,"Place 3 search tokens as shown."
SETUP_SEARCH_4,"Place 4 search tokens as shown."
SETUP_SEARCH_5,"Place 5 search tokens as shown."
SETUP_SEARCH_6,"Place 6 search tokens as shown."
SETUP_OBJ1,"Place 1 objective token facedown as shown."
SETUP_OBJ2,"Place 2 objective tokens facedown as shown."
SETUP_OBJ3,"Place 3 objective tokens facedown as shown."
SETUP_OBJ4,"Place 4 objective tokens facedown as shown."
SETUP_OBJ8,"Place 8 objective tokens facedown as shown."
SETUP_OBJ_WHITE,"Place 1 white objective token as shown."
SETUP_OBJ_RED,"Place 1 red objective token as shown."
SETUP_OBJ_BLUE,"Place 1 blue objective token as shown."
SETUP_OBJ_GREEN,"Place 1 green objective token as shown."
SETUP_VIL_1,"Place 1 villager token as shown."
SETUP_VIL_2,"Place 2 villager tokens as shown."
REINFORCE_GROUP,"Place the {0} group."
REINFORCE_GROUP_NO_LIMIT,"Place the {0} group, ignoring group limits."
REINFORCE_1,"Place 1 {0}."
REINFORCE_2,"Place 2 {0}."
REINFORCE_NAMED_MONSTER,"Place {0}."
SEARCH_FIND,"Discard this token and draw a Search card!"
SEARCH_FIND_GOLD,"You find {0} gold!\n\nDiscard this token and draw a Search card."
SEARCH_GOLD,"Discard this token. You find [b]{0}[/b] gold!"
SETUP_COMPLETE,"Setup complete.\n\nObjective: {0}"
OBJECTIVE_UPDATE,"Objective: {0}"
DOOR_LOCKED,"This door is locked and cannot be opened without the key."
CONFIRM_OPEN_DOOR,"You can open this door with an ""Open Door"" action."
TEST_FAIL,"Nothing happens…"
TEST_PASS, "Pass"
TEST_FAILURE, "Fail"
REMOVE_DOOR,"Remove the door."
TEST,"TEST"
OLD_WALL,"This is an old wall. It cannot be removed."

//City Info
CITY_TAMALIR_INFO,"[u]Tamalir[/u]\n\n[i]After the death of King Falladir, the city of Tamalir became the first and greatest of the Free Cities. Travelers from across the world may be seen on her streets, and coins and languages from a dozen kingdoms are traded back and forth in her many markets."

//Travel Events
TRAVEL_EVENT_ALL_IS_QUIET_CONTINUE,"[i]Your journey continues…"
TRAVEL_EVENT_ALL_IS_QUIET_1,"[u]Travel Event[/u]\n\n[i]All is quiet on the road... Very quiet."
TRAVEL_EVENT_ALL_IS_QUIET_2,"[u]Travel Event[/u]\n\n[i]You find a hot spring and stop to bathe. Unfortunately, you feel no more refreshed than when you first got in."
TRAVEL_EVENT_ALL_IS_QUIET_3,"[u]Travel Event[/u]\n\n[i]You meet an old friend riding frantically down the road. He bears an important message, but shares nothing of its contents. In a few minutes, he departs in haste."
TRAVEL_EVENT_ALL_IS_QUIET_4,"[u]Travel Event[/u]\n\n[i]A storm gathers on the horizon. The air grows cool in preparation for the coming rain."
TRAVEL_EVENT_ALL_IS_QUIET_5,"[u]Travel Event[/u]\n\n[i]You crest a barren hill and discover the site of a recent battle. The bodies have been stripped and silenced. You are unable to find any information on the cause or outcome."
TRAVEL_EVENT_ALL_IS_QUIET_6,"[u]Travel Event[/u]\n\n[i]A lone crow trails you for two days, cawing a frantic message from dawn until dusk. On the morning of the third day, you find its lifeless body lying in your path, pierced by an arrow."
TRAVEL_EVENT_ALL_IS_QUIET_7,"[u]Travel Event[/u]\n\n[i]Pushing through a dense forest, you notice a particular bird call sounding all around you. A stillness follows you until you exit the wood."
TRAVEL_EVENT_ALL_IS_QUIET_8,"[u]Travel Event[/u]\n\n[i]A lone figure beckons to you from a far hill. When you arrive, the stranger has disappeared. You search, but are unable to locate any tracks. In time, you forget what you are looking for altogether and head back to the road."
TRAVEL_EVENT_ALL_IS_QUIET_9,"[u]Travel Event[/u]\n\n[i]A great roar echoes through the air, but you are unable to determine from which direction it came. When it fades, all is silent again."
TRAVEL_EVENT_ALL_IS_QUIET_10,"[u]Travel Event[/u]\n\n[i]A cloaked figure bumps into you while traveling along a crowded road. A few steps later, you fumble through your pockets quickly, but nothing appears to be missing."
TRAVEL_EVENT_ALL_IS_QUIET_11,"[u]Travel Event[/u]\n\n[i]You are handed a note by an innkeeper after spending the night. The parchment is damp, and when you unroll the page, the ink is smudged beyond legibility. ""That's how it came!"" he insists, wiping up a pool of ale spilled across his desk.[/i]"
TRAVEL_EVENT_ALL_IS_QUIET_12,"[u]Travel Event[/u]\n\n[i]While taking a short break atop an old stone bridge, you spot a raft drifting down river, about to pass beneath you. Three old men lay stretched out upon it, their longs beards dragging behind them in the slow waters. The raft drifts beneath the bridge, but when you move the other side, it never reappears. You search, but can find nothing no sign of them."

TRAVEL_EVENT_SICKLY_GOBLIN_START,"[u]Travel Event[/u]\n\n[i]A sickly goblin rests in the shade of a scraggly bush. ""Help me…"" he croaks.[i]"
TRAVEL_EVENT_SICKLY_GOBLIN_START_UI_HEAL,"Heal his wounds."
TRAVEL_EVENT_SICKLY_GOBLIN_START_UI_LEAVE,"Leave him for dead."
TRAVEL_EVENT_SICKLY_GOBLIN_START_UI_KILL,"Finish him off."
TRAVEL_EVENT_SICKLY_GOBLIN_HEAL,"[i]You kneel beside the pale creature, inspecting the sores on his body.[/i]"
TRAVEL_EVENT_SICKLY_GOBLIN_HEAL_UI_SAVE,"Do everything you can."
TRAVEL_EVENT_SICKLY_GOBLIN_HEAL_UI_KNOWLEDGE,"Attempt a quick fix."
TRAVEL_EVENT_SICKLY_GOBLIN_LEAVE,"[i]You hear him call out once more, but cannot make out his words. In a few minutes, you’ve forgotten about the encounter altogether.[/i]"
TRAVEL_EVENT_SICKLY_GOBLIN_KILL,"[i]You finish it quickly, causing no additional suffering.[/i]"
TRAVEL_EVENT_SICKLY_GOBLIN_KILL_UI_LOOT,"Loot the body."
TRAVEL_EVENT_SICKLY_GOBLIN_KILL_UI_NO_LOOT,"Leave him be."
TRAVEL_EVENT_SICKLY_GOBLIN_SAVE,"[i]Passersby scoff at your task, but after about an hour the goblin wobbles to his feet. He thanks you profusely, gives you every coin he has, then scurries off.[/i]\n\nFame decreases by 2! \nYou gain {0} gold!"
TRAVEL_EVENT_SICKLY_GOBLIN_KNOWLEDGE,"[i]You examine the goblin’s body, trying to find the cause of his suffering.[i]\n\n1 hero tests ∑."
TRAVEL_EVENT_SICKLY_GOBLIN_PASS,"[i]Scrapping together a few local herbs, you relieve his pain and get him on the mend. You leave him with a few supplies and in much better health.[/i]"
TRAVEL_EVENT_SICKLY_GOBLIN_FAIL,"[i]Despite your best efforts, his misery only grows worse as his boils begin to ooze and fester. The only thing left to do is give him a painless death.[/i]"
TRAVEL_EVENT_SICKLY_GOBLIN_LOOT,"[i]You sift through the goblin's ragged clothing, which yields a few coins.[/i]\n\nYou gain {0} gold!"
TRAVEL_EVENT_SICKLY_GOBLIN_GOOD,"[i]A few goblins scurry to a ledge above you. ""This is for the good you did to our brother on the side of the road!"" the largest squeals. Training their bows on your foes, they unleash a single wave of crude arrows, then scamper away with shrieks of cowardice.[/i]\n\nChoose {0} monsters. Each chosen monster suffers 3 ≥."
TRAVEL_EVENT_SICKLY_GOBLIN_BAD,"[i]A few goblins scurry to a ledge above you. ""This is for {0} on the side of the road!"" Training their bows on you with all haste, they unleash a single wave of crude arrows, then scamper away with shrieks of cowardice.[/i]\n\nEach hero suffers 3 ≥."
TRAVEL_EVENT_SICKLY_GOBLIN_BAD_LOOT,"[i]killing and looting our poor brother"
TRAVEL_EVENT_SICKLY_GOBLIN_BAD_LEAVE,"[i]leaving our brother to die"

TRAVEL_EVENT_CHEERING_CROWD_START,"[u]Travel Event[/u]\n\n[i]As you pass through a remote village, a crowd of curious villagers begins to gather. They ask questions as to your occupation and the purpose of your journey. They begin to murmur excitedly when they learn that you are a traveling band of adventurers.[/i]"
TRAVEL_EVENT_CHEERING_CROWD_START_UI_DONATE,"Ask for donations."
TRAVEL_EVENT_CHEERING_CROWD_START_UI_SHOW,"Put on a show."
TRAVEL_EVENT_CHEERING_CROWD_DONATE,"[i]Harnessing the crowd's excitement, you solicit them to fund your  quest.[/i]\n\n1 hero tests π."
TRAVEL_EVENT_CHEERING_CROWD_SHOW,"[i]You break from your journey for a few minutes and show off for the crowd, displaying your prowess and charm.[/i]\n\nEach hero tests an attribute of his choice. Do more heroes pass than fail?"
TRAVEL_EVENT_CHEERING_CROWD_PASS,"You gain {0} gold!"
TRAVEL_EVENT_CHEERING_CROWD_FAIL,"[i]Their expressions sour, and they begin to boo. You hurry down the road.[/i]\n\nFame decreases by 1!"
TRAVEL_EVENT_CHEERING_CROWD_GROUP_PASS,"[i]The crowd begins to chant your names and follows you for the next several miles.[/i]\n\nFame increases by 3!"
TRAVEL_EVENT_CHEERING_CROWD_GROUP_FAIL,"[i]The excitement fizzles as quickly as it started. The villagers return to their dwellings, uncertain about the future of Terrinoth.[/i]\n\nFame decreases by 1!"

TRAVEL_EVENT_BRONZE_SPRING_START,"[u]Travel Event[/u]\n\n[i]You find a natural spring, its waters speckled with small bronze bubbles.[/i]\n\n1 hero tests ∑."
TRAVEL_EVENT_BRONZE_SPRING_GOOD,"[i]The bronze oil proves to be a restorative substance. You drink and feel the magic lingering within you, waiting to do its work."
TRAVEL_EVENT_BRONZE_SPRING_BAD,"[i]You discern that the waters are toxic—you drink from your waterskins instead. "
TRAVEL_EVENT_BRONZE_SPRING_UNKNOWN,"[i]You’re pretty sure the strange bubbles are harmless and the water is safe to drink… probably.[/i]\n\nSelect each hero who would like to drink."
TRAVEL_EVENT_BRONZE_SPRING_DRINK,"[i]You drink, but the only noteworthy outcome is the strange taste it leaves in your mouth.[/i]"
TRAVEL_EVENT_BRONZE_SPRING_BAD_QUEST,"[i]Last night's dinner and your meager breakfast spills out of your mouth, mixed with strands of fizzling bronze liquid.[/i]\n\nEach indicated hero is Diseased."
TRAVEL_EVENT_BRONZE_SPRING_GOOD_QUEST,"[i]The fatigue and bruises of your initial assault fade. The sensation is similar to what you felt when you drank from that spring of bronze liquid. Perhaps it is doing you some good![/i]\n\nEach indicated hero recovers 3 ≥ and 2 ∏."

TRAVEL_JOYFUL_INN_START,"[u]Travel Event[/u]\n\n[i]Your journey leads you past a small inn. Beyond its aging windows, you hear music, laughter, and the ruckus of dancing. Though you still have an hour of daylight with which to travel, you decide to stop and treat yourself to some warm food, good company, and soft beds."
TRAVEL_JOYFUL_INN_1,"Buy a drink for everyone. [8 gold]" //8 gold
TRAVEL_JOYFUL_INN_2,"Join the celebration"
TRAVEL_JOYFUL_INN_3,"Work the carefree crowd for loose coin. [Thief]" //Thief
TRAVEL_JOYFUL_INN_DRINKS,"[i]The room erupts with cheers as you declare the next round will be paid for by you.[/i]\n\nGain 2 fame."
TRAVEL_JOYFUL_INN_JOIN,"[i]You find a table and order yourselves some food and drink. You try your best to relax and enjoy the evening.[/i]\n\nThe hero with the highest π tests π."
TRAVEL_JOYFUL_INN_JOIN_PASS,"[i]You withstand the temptation to let down your guard. You allow your companions a few minutes to join in the revelry, then caution them to retreat back to your room for a full night’s sleep. In the morning, you are rested and ready to go."
TRAVEL_JOYFUL_INN_JOIN_FAIL,"[i]Unable to resist the joyful dancing and feasting, it takes but a few minutes before you leap from your seats and join in. You awake the next morning with a slight headache, but encouraged by the amazing evening you were able to share.[/i]\n\nMorale increases by 1!"
